File Name,Revision,State (Historical),Created By (sys),Checked In,Comment
802650.ipt,03,Released Production,HN,2019-02-03 12:49,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808429.ipt,01,Released Production,HN,2019-02-03 16:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808430.ipt,02,Released Production,HN,2019-02-03 16:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808431.ipt,01,Released Production,HN,2019-02-03 16:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808432.ipt,00,Released Production,HN,2019-02-03 16:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808495.ipt,00,Released Production,HN,2019-02-03 16:27,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808912.ipt,01,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808919.iam,01,Released Production,HN,2019-02-03 16:50,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808920.ipt,01,Released,Migrering,2018-12-09 00:34,
808921.ipt,00,Released,Migrering,2018-12-09 00:34,
808943.ipt,00,Released Production,HN,2019-02-03 16:51,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
811158.ipt,00,Released Production,HN,2019-02-03 17:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
811160.iam,00,Released Production,HN,2019-02-03 17:24,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809008.ipt,01,Released Production,HN,2019-02-03 16:54,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809009.ipt,01,Released Production,HN,2019-02-03 16:54,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
